Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,LOG,Arena,Notes,Boxscore Link,Team 1 TS PCT,Team 2 TS PCT,Team 1 EFG PCT,Team 2 EFG PCT,Team 1 3P AR,Team 2 3P AR,Team 1 FT AR,Team 2 FT AR,Team 1 TRB PCT,Team 2 TRB PCT,Team 1 AST PCT,Team 2 AST PCT,Team 1 STL PCT,Team 2 STL PCT,Team 1 BLK PCT,Team 2 BLK PCT,Team 1 TO PCT,Team 2 TO PCT,Team 1 OFF RT,Team 2 OFF RT,Team 1 DEF RT,Team 2 DEF RT
"Mon, Apr 1, 2024",7:00p,Boston Celtics,118,Charlotte Hornets,104,Box Score,,"19,238",1:54,Spectrum Center,,https://www.basketball-reference.com/boxscores/202404010CHO.html,.614,.543,.590,.522,.596,.407,.180,.121,56.0,44.0,65.1,68.3,3.2,3.2,5.6,5.6,10.3,6.8,126.7,111.7,111.7,126.7
"Mon, Apr 1, 2024",7:00p,Memphis Grizzlies,110,Detroit Pistons,108,Box Score,,"19,999",2:08,Little Caesars Arena,,https://www.basketball-reference.com/boxscores/202404010DET.html,.544,.609,.500,.576,.363,.354,.253,.278,51.8,48.2,70.0,55.0,11.7,7.5,17.6,15.5,11.4,13.6,117.2,115.7,115.1,117.8
"Mon, Apr 1, 2024",7:00p,Brooklyn Nets,111,Indiana Pacers,133,Box Score,,"16,522",2:20,Gainbridge Fieldhouse,,https://www.basketball-reference.com/boxscores/202404010IND.html,.559,.602,.529,.578,.299,.301,.322,.165,47.8,52.2,48.8,66.0,3.0,5.9,5.6,14.8,13.1,8.3,109.8,130.9,131.5,109.2
"Mon, Apr 1, 2024",7:00p,Portland Trail Blazers,103,Orlando Magic,104,Box Score,,"19,004",2:11,Kia Center,,https://www.basketball-reference.com/boxscores/202404010ORL.html,.533,.592,.506,.546,.344,.421,.167,.355,50.6,49.4,70.0,72.2,9.6,4.3,6.8,10.2,10.2,15.4,110.4,112.1,111.5,111.0
"Mon, Apr 1, 2024",8:00p,Atlanta Hawks,113,Chicago Bulls,101,Box Score,,"21,114",2:07,United Center,,https://www.basketball-reference.com/boxscores/202404010CHI.html,.628,.483,.616,.431,.488,.298,.220,.255,46.9,53.1,70.7,45.9,4.2,8.5,7.6,4.8,14.3,7.1,119.4,107.3,106.8,120.1
"Mon, Apr 1, 2024",8:00p,Phoenix Suns,124,New Orleans Pelicans,111,Box Score,,"17,753",2:14,Smoothie King Center,,https://www.basketball-reference.com/boxscores/202404010NOP.html,.633,.557,.598,.534,.540,.303,.287,.270,57.0,43.0,67.4,69.0,7.5,10.8,9.7,2.5,12.5,8.3,132.8,120.1,118.8,134.2
"Tue, Apr 2, 2024",7:00p,Los Angeles Lakers,128,Toronto Raptors,111,Box Score,,"19,800",2:06,Scotiabank Arena,,https://www.basketball-reference.com/boxscores/202404020TOR.html,.602,.565,.604,.539,.406,.360,.119,.236,54.0,46.0,73.1,58.1,5.6,10.3,14.0,10.0,12.4,14.8,119.2,103.9,103.4,119.8
"Tue, Apr 2, 2024",7:00p,Milwaukee Bucks,113,Washington Wizards,117,Box Score,,"16,492",2:13,Capital One Arena,,https://www.basketball-reference.com/boxscores/202404020WAS.html,.509,.582,.490,.554,.466,.409,.175,.183,56.4,43.6,68.9,55.3,7.7,8.7,10.9,3.6,9.8,9.9,109.3,112.6,113.1,108.8
"Tue, Apr 2, 2024",7:30p,New York Knicks,99,Miami Heat,109,Box Score,,"19,857",2:16,Kaseya Center,,https://www.basketball-reference.com/boxscores/202404020MIA.html,.581,.655,.539,.601,.447,.514,.276,.284,43.5,56.5,71.4,66.7,12.2,5.5,5.6,9.5,14.1,17.8,109.7,120.2,120.8,109.1
"Tue, Apr 2, 2024",7:30p,Oklahoma City Thunder,105,Philadelphia 76ers,109,Box Score,,"20,733",2:22,Wells Fargo Center,,https://www.basketball-reference.com/boxscores/202404020PHI.html,.543,.612,.500,.551,.448,.385,.253,.321,50.6,49.4,81.1,75.0,10.5,8.4,18.8,8.3,13.4,16.8,110.3,113.9,114.5,109.7
"Tue, Apr 2, 2024",8:00p,Houston Rockets,106,Minnesota Timberwolves,113,Box Score,,"18,024",2:13,Target Center,,https://www.basketball-reference.com/boxscores/202404020MIN.html,.540,.652,.522,.604,.522,.338,.152,.286,48.7,51.3,56.1,70.7,10.3,12.4,0.0,11.4,13.3,17.2,109.6,116.9,116.9,109.6
"Tue, Apr 2, 2024",9:00p,San Antonio Spurs,105,Denver Nuggets,110,Box Score,,"19,741",2:10,Ball Arena,,https://www.basketball-reference.com/boxscores/202404020DEN.html,.469,.524,.462,.495,.419,.347,.152,.163,53.2,46.8,78.6,65.1,4.0,5.0,18.8,16.4,6.7,7.1,104.0,109.5,108.9,104.5
"Tue, Apr 2, 2024",9:00p,Cleveland Cavaliers,129,Utah Jazz,113,Box Score,,"18,206",2:05,Delta Center,,https://www.basketball-reference.com/boxscores/202404020UTA.html,.675,.608,.635,.576,.459,.435,.282,.212,55.4,44.6,82.6,63.4,9.9,7.0,12.5,6.5,13.6,17.7,128.0,112.7,112.1,128.6
"Tue, Apr 2, 2024",10:00p,Dallas Mavericks,100,Golden State Warriors,104,Box Score,,"18,064",2:20,Chase Center,,https://www.basketball-reference.com/boxscores/202404020GSW.html,.533,.559,.522,.539,.449,.356,.124,.078,44.7,55.3,69.2,70.7,8.1,9.2,12.1,8.2,13.8,15.4,101.7,105.8,105.8,101.7
"Tue, Apr 2, 2024",10:00p,Los Angeles Clippers,95,Sacramento Kings,109,Box Score,,"17,832",2:12,Golden 1 Center,,https://www.basketball-reference.com/boxscores/202404020SAC.html,.541,.529,.480,.489,.355,.457,.355,.272,40.4,59.6,58.1,74.4,6.6,11.0,2.0,12.2,15.4,8.8,104.4,120.4,119.8,105.0
"Wed, Apr 3, 2024",7:00p,Portland Trail Blazers,89,Charlotte Hornets,86,Box Score,,"14,209",2:06,Spectrum Center,,https://www.basketball-reference.com/boxscores/202404030CHO.html,.453,.490,.435,.442,.280,.397,.129,.282,60.4,39.6,51.4,68.8,4.2,10.5,4.3,11.9,14.0,11.1,93.8,90.1,90.6,93.3
"Wed, Apr 3, 2024",7:00p,Los Angeles Lakers,125,Washington Wizards,120,Box Score,,"20,333",2:14,Capital One Arena,,https://www.basketball-reference.com/boxscores/202404030WAS.html,.602,.620,.549,.593,.308,.462,.319,.143,55.7,44.3,45.7,57.8,9.3,10.3,8.2,6.3,14.1,15.7,116.3,112.1,111.6,116.8
"Wed, Apr 3, 2024",7:30p,Detroit Pistons,113,Atlanta Hawks,121,Box Score,,"17,899",2:07,State Farm Arena,,https://www.basketball-reference.com/boxscores/202404030ATL.html,.547,.626,.511,.617,.319,.422,.223,.167,43.5,56.5,55.8,73.5,13.5,8.6,5.8,12.5,8.8,14.2,108.6,116.3,116.3,108.6
"Wed, Apr 3, 2024",7:30p,Oklahoma City Thunder,100,Boston Celtics,135,Box Score,,"19,156",2:14,TD Garden,,https://www.basketball-reference.com/boxscores/202404030BOS.html,.536,.673,.463,.636,.296,.435,.346,.207,40.3,59.7,60.0,66.0,8.2,7.1,9.6,17.5,13.0,9.9,101.9,137.6,137.6,101.9
"Wed, Apr 3, 2024",7:30p,Indiana Pacers,111,Brooklyn Nets,115,Box Score,,"17,732",2:15,Barclays Center,,https://www.basketball-reference.com/boxscores/202404030BRK.html,.515,.582,.495,.552,.369,.368,.107,.310,47.4,52.6,58.7,52.4,8.5,4.3,16.4,12.3,7.7,11.6,118.0,122.3,122.3,118.0
"Wed, Apr 3, 2024",8:00p,Memphis Grizzlies,111,Milwaukee Bucks,101,Box Score,,"17,420",2:05,Fiserv Forum,,https://www.basketball-reference.com/boxscores/202404030MIL.html,.564,.504,.544,.495,.253,.463,.187,.126,55.1,44.9,54.3,68.4,5.3,5.3,15.7,14.7,8.4,9.9,117.7,107.6,107.1,118.3
"Wed, Apr 3, 2024",8:00p,Toronto Raptors,85,Minnesota Timberwolves,133,Box Score,,"18,024",2:00,Target Center,,https://www.basketball-reference.com/boxscores/202404030MIN.html,.442,.629,.406,.615,.333,.448,.156,.229,49.0,51.0,57.6,75.5,3.8,12.5,11.3,15.0,17.9,7.8,81.4,128.0,127.4,81.8
"Wed, Apr 3, 2024",8:00p,Orlando Magic,117,New Orleans Pelicans,108,Box Score,,"16,427",,Smoothie King Center,,https://www.basketball-reference.com/boxscores/202404030NOP.html,.628,.611,.594,.553,.400,.382,.375,.368,52.7,47.3,65.9,58.3,9.5,9.5,4.3,2.1,12.2,13.7,123.0,113.6,113.6,123.0
"Wed, Apr 3, 2024",10:00p,Cleveland Cavaliers,101,Phoenix Suns,122,Box Score,,"17,071",2:14,Footprint Center,,https://www.basketball-reference.com/boxscores/202404030PHO.html,.553,.646,.512,.609,.313,.379,.229,.195,46.3,53.8,71.8,72.7,9.1,11.1,7.4,3.5,14.1,14.5,102.6,123.3,123.9,102.1
"Thu, Apr 4, 2024",7:30p,Atlanta Hawks,95,Dallas Mavericks,109,Box Score,,"20,211",2:09,American Airlines Center,,https://www.basketball-reference.com/boxscores/202404040DAL.html,.504,.537,.476,.500,.447,.521,.247,.181,51.4,48.6,61.8,52.6,6.8,6.8,4.4,14.9,18.2,12.1,92.2,105.8,105.8,92.2
"Thu, Apr 4, 2024",7:30p,Philadelphia 76ers,109,Miami Heat,105,Box Score,,"19,719",2:07,Kaseya Center,,https://www.basketball-reference.com/boxscores/202404040MIA.html,.563,.520,.543,.484,.435,.457,.120,.170,44.6,55.4,65.1,61.5,11.4,8.2,13.7,7.7,10.2,14.4,112.5,107.2,108.3,111.3
"Thu, Apr 4, 2024",7:30p,Sacramento Kings,109,New York Knicks,120,Box Score,,"19,812",2:28,Madison Square Garden (IV),,https://www.basketball-reference.com/boxscores/202404040NYK.html,.597,.647,.593,.625,.488,.350,.140,.363,47.3,52.7,61.9,77.3,6.4,9.4,5.8,4.5,14.9,12.3,115.6,125.9,127.2,114.4
"Thu, Apr 4, 2024",8:00p,Golden State Warriors,133,Houston Rockets,110,Box Score,,"18,055",2:13,Toyota Center,,https://www.basketball-reference.com/boxscores/202404040HOU.html,.731,.554,.694,.488,.438,.465,.313,.349,59.7,40.3,61.7,63.9,6.3,11.7,4.3,2.2,18.8,10.8,138.9,116.7,114.9,141.1
"Thu, Apr 4, 2024",10:00p,Denver Nuggets,100,Los Angeles Clippers,102,Box Score,,"19,370",2:33,Crypto.com Arena,,https://www.basketball-reference.com/boxscores/202404040LAC.html,.532,.490,.500,.417,.422,.367,.301,.356,51.5,48.5,75.0,64.7,3.0,9.9,7.0,4.2,13.0,6.3,99.3,101.3,101.3,99.3
"Fri, Apr 5, 2024",7:00p,Orlando Magic,115,Charlotte Hornets,124,Box Score,,"16,374",2:13,Spectrum Center,,https://www.basketball-reference.com/boxscores/202404050CHO.html,.545,.755,.495,.701,.404,.417,.277,.319,50.7,49.3,57.1,67.4,9.4,6.2,7.1,7.1,8.7,19.6,120.4,128.5,129.8,119.1
"Fri, Apr 5, 2024",7:00p,Oklahoma City Thunder,112,Indiana Pacers,126,Box Score,,"17,274",2:12,Gainbridge Fieldhouse,,https://www.basketball-reference.com/boxscores/202404050IND.html,.580,.648,.535,.608,.349,.398,.279,.239,50.0,50.0,57.1,65.2,8.0,8.0,11.3,8.9,13.4,12.6,112.0,125.4,126.0,111.5
"Fri, Apr 5, 2024",7:00p,Portland Trail Blazers,108,Washington Wizards,102,Box Score,,"18,079",2:16,Capital One Arena,,https://www.basketball-reference.com/boxscores/202404050WAS.html,.516,.504,.484,.460,.309,.375,.255,.341,55.0,45.0,70.7,63.2,7.2,9.3,9.1,7.7,11.1,9.0,111.1,104.9,104.9,111.1
"Fri, Apr 5, 2024",7:30p,Sacramento Kings,100,Boston Celtics,101,Box Score,,"19,156",2:03,TD Garden,,https://www.basketball-reference.com/boxscores/202404050BOS.html,.477,.521,.470,.494,.515,.494,.131,.202,51.4,48.6,55.3,65.8,4.4,6.5,6.7,8.3,6.3,7.6,109.0,109.5,110.1,108.4
"Fri, Apr 5, 2024",8:00p,New York Knicks,100,Chicago Bulls,108,Box Score,,"21,599",2:17,United Center,,https://www.basketball-reference.com/boxscores/202404050CHI.html,.534,.540,.494,.511,.349,.247,.289,.172,40.0,60.0,61.1,61.4,9.2,11.2,2.9,9.3,16.1,14.5,102.2,110.4,110.4,102.2
"Fri, Apr 5, 2024",8:00p,Miami Heat,119,Houston Rockets,104,Box Score,,"18,055",2:03,Toyota Center,,https://www.basketball-reference.com/boxscores/202404050HOU.html,.606,.515,.567,.456,.404,.489,.236,.278,51.6,48.4,61.4,73.5,8.3,7.3,8.7,3.8,8.4,8.2,123.8,108.2,108.2,123.8
"Fri, Apr 5, 2024",8:00p,Detroit Pistons,90,Memphis Grizzlies,108,Box Score,,"16,745",2:01,FedEx Forum,,https://www.basketball-reference.com/boxscores/202404050MEM.html,.502,.556,.456,.522,.380,.344,.304,.178,43.7,56.3,68.8,57.1,13.4,13.4,6.8,14.3,16.7,17.8,92.9,111.5,111.5,92.9
"Fri, Apr 5, 2024",8:00p,Toronto Raptors,117,Milwaukee Bucks,111,Box Score,,"17,750",2:21,Fiserv Forum,,https://www.basketball-reference.com/boxscores/202404050MIL.html,.617,.538,.544,.500,.456,.447,.456,.223,51.1,48.9,66.7,51.2,8.9,7.9,5.8,14.0,15.2,11.2,115.7,110.3,109.7,116.2
