Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,LOG,Arena,Notes,Boxscore Link,Team 1 TS PCT,Team 2 TS PCT,Team 1 EFG PCT,Team 2 EFG PCT,Team 1 3P AR,Team 2 3P AR,Team 1 FT AR,Team 2 FT AR,Team 1 TRB PCT,Team 2 TRB PCT,Team 1 AST PCT,Team 2 AST PCT,Team 1 STL PCT,Team 2 STL PCT,Team 1 BLK PCT,Team 2 BLK PCT,Team 1 TO PCT,Team 2 TO PCT,Team 1 OFF RT,Team 2 OFF RT,Team 1 DEF RT,Team 2 DEF RT
"Fri, Dec 1, 2023",7:00p,Washington Wizards,125,Orlando Magic,130,Box Score,,"18,846",2:30,Kia Center,,https://www.basketball-reference.com/boxscores/202312010ORL.html,.609,.628,.579,.584,.315,.348,.348,.371,47.6,52.4,55.6,76.1,7.6,5.6,8.6,13.1,12.0,12.7,118.1,122.3,122.8,117.5
"Fri, Dec 1, 2023",7:30p,Philadelphia 76ers,119,Boston Celtics,125,Box Score,,"19,156",2:25,TD Garden,,https://www.basketball-reference.com/boxscores/202312010BOS.html,.571,.673,.543,.610,.372,.429,.245,.468,47.7,52.3,37.2,64.1,15.7,9.8,11.4,13.6,13.3,17.7,116.9,122.8,122.8,116.9
"Fri, Dec 1, 2023",7:30p,Memphis Grizzlies,108,Dallas Mavericks,94,Box Score,,"20,150",2:08,American Airlines Center,,https://www.basketball-reference.com/boxscores/202312010DAL.html,.569,.464,.550,.435,.378,.424,.122,.228,55.3,44.7,61.4,79.4,8.4,9.5,22.6,8.9,13.7,10.6,113.7,98.9,98.9,113.7
"Fri, Dec 1, 2023",7:30p,New York Knicks,119,Toronto Raptors,106,Box Score,,"19,800",2:13,Scotiabank Arena,,https://www.basketball-reference.com/boxscores/202312010TOR.html,.613,.493,.589,.470,.400,.320,.178,.170,47.3,52.7,66.7,72.7,6.2,7.3,4.4,11.1,11.8,10.0,123.5,110.6,110.1,124.2
"Fri, Dec 1, 2023",8:00p,San Antonio Spurs,106,New Orleans Pelicans,121,Box Score,,"17,028",2:09,Smoothie King Center,,https://www.basketball-reference.com/boxscores/202312010NOP.html,.586,.619,.554,.553,.470,.365,.205,.341,48.1,51.9,73.7,61.9,5.1,8.1,9.3,13.6,18.1,10.9,107.9,123.1,123.1,107.9
"Fri, Dec 1, 2023",10:00p,Denver Nuggets,119,Phoenix Suns,111,Box Score,,"17,071",2:21,Footprint Center,,https://www.basketball-reference.com/boxscores/202312010PHO.html,.638,.582,.636,.518,.364,.321,.136,.310,42.7,57.3,76.0,56.4,8.3,4.1,7.0,16.1,8.8,11.2,123.1,114.8,114.8,123.1
"Sat, Dec 2, 2023",4:00p,Golden State Warriors,112,Los Angeles Clippers,113,Box Score,,"19,370",2:20,Crypto.com Arena,,https://www.basketball-reference.com/boxscores/202312020LAC.html,.580,.588,.541,.561,.500,.433,.279,.156,51.2,48.8,81.6,70.5,4.9,5.0,7.8,14.0,13.4,10.3,110.0,112.1,111.0,111.1
"Sat, Dec 2, 2023",5:00p,Minnesota Timberwolves,123,Charlotte Hornets,117,Box Score,,"17,731",2:16,Spectrum Center,,https://www.basketball-reference.com/boxscores/202312020CHO.html,.633,.589,.577,.549,.369,.275,.357,.209,53.2,46.8,60.5,65.9,5.3,6.3,4.5,7.5,10.2,7.5,130.1,123.7,123.7,130.1
"Sat, Dec 2, 2023",7:00p,Orlando Magic,101,Brooklyn Nets,129,Box Score,,"17,966",2:20,Barclays Center,,https://www.basketball-reference.com/boxscores/202312020BRK.html,.506,.616,.449,.582,.330,.374,.307,.341,39.4,60.6,68.6,67.4,3.0,4.0,8.8,13.6,9.9,9.5,101.2,129.2,129.2,101.2
"Sat, Dec 2, 2023",7:00p,Cleveland Cavaliers,110,Detroit Pistons,101,Box Score,,"18,924",2:05,Little Caesars Arena,,https://www.basketball-reference.com/boxscores/202312020DET.html,.567,.542,.551,.518,.337,.361,.202,.277,46.7,53.3,56.8,61.5,11.2,9.1,1.9,5.1,10.2,14.7,111.8,102.7,102.7,111.8
"Sat, Dec 2, 2023",8:00p,New Orleans Pelicans,118,Chicago Bulls,124,Box Score,,"20,511",2:15,United Center,,https://www.basketball-reference.com/boxscores/202312020CHI.html,.606,.655,.549,.642,.305,.455,.427,.170,48.8,51.3,48.8,66.7,10.6,6.4,2.1,14.0,11.0,12.1,125.6,132.0,132.0,125.6
"Sat, Dec 2, 2023",8:00p,Indiana Pacers,144,Miami Heat,129,Box Score,,"19,650",2:17,Kaseya Center,,https://www.basketball-reference.com/boxscores/202312020MIA.html,.768,.648,.753,.607,.376,.281,.235,.270,53.3,46.7,62.5,56.3,4.0,3.0,12.5,1.9,9.6,10.8,143.7,128.1,128.8,143.0
"Sat, Dec 2, 2023",8:00p,Atlanta Hawks,121,Milwaukee Bucks,132,Box Score,,"17,866",2:04,Fiserv Forum,,https://www.basketball-reference.com/boxscores/202312020MIL.html,.549,.690,.520,.674,.376,.371,.208,.169,47.6,52.4,51.1,62.3,10.8,4.9,7.1,9.5,9.1,14.3,119.0,129.1,129.8,118.4
"Sat, Dec 2, 2023",9:00p,Oklahoma City Thunder,126,Dallas Mavericks,120,Box Score,,"20,277",2:22,American Airlines Center,,https://www.basketball-reference.com/boxscores/202312020DAL.html,.574,.586,.540,.557,.440,.598,.220,.402,51.5,48.5,54.5,66.7,7.9,4.9,14.3,21.4,10.6,13.5,124.7,118.8,118.8,124.7
"Sat, Dec 2, 2023",9:00p,Memphis Grizzlies,109,Phoenix Suns,116,Box Score,,"17,071",2:27,Footprint Center,,https://www.basketball-reference.com/boxscores/202312020PHO.html,.564,.569,.506,.488,.360,.313,.279,.518,47.6,52.4,35.9,66.7,8.8,9.8,14.0,9.1,15.0,14.3,106.3,113.7,113.2,106.8
