Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,LOG,Arena,Notes,Boxscore Link,Team 1 TS PCT,Team 2 TS PCT,Team 1 EFG PCT,Team 2 EFG PCT,Team 1 3P AR,Team 2 3P AR,Team 1 FT AR,Team 2 FT AR,Team 1 TRB PCT,Team 2 TRB PCT,Team 1 AST PCT,Team 2 AST PCT,Team 1 STL PCT,Team 2 STL PCT,Team 1 BLK PCT,Team 2 BLK PCT,Team 1 TO PCT,Team 2 TO PCT,Team 1 OFF RT,Team 2 OFF RT,Team 1 DEF RT,Team 2 DEF RT
"Thu, Feb 1, 2024",7:30p,Los Angeles Lakers,114,Boston Celtics,105,Box Score,,"19,156",2:13,TD Garden,,https://www.basketball-reference.com/boxscores/202402010BOS.html,.541,.525,.505,.505,.383,.495,.277,.072,49.1,50.9,78.9,73.2,11.4,4.1,4.1,20.7,6.2,13.0,117.9,108.6,108.6,117.9
"Thu, Feb 1, 2024",7:30p,Indiana Pacers,105,New York Knicks,109,Box Score,,"19,812",2:17,Madison Square Garden (IV),,https://www.basketball-reference.com/boxscores/202402010NYK.html,.532,.478,.522,.437,.355,.369,.140,.243,42.3,57.7,50.0,36.6,9.2,8.2,13.8,11.7,11.6,8.1,107.0,111.1,111.1,107.0
"Thu, Feb 1, 2024",8:00p,Cleveland Cavaliers,108,Memphis Grizzlies,101,Box Score,,"15,505",2:13,FedEx Forum,,https://www.basketball-reference.com/boxscores/202402010MEM.html,.575,.518,.558,.478,.407,.422,.209,.189,52.7,47.3,63.4,67.6,6.1,9.1,15.4,23.5,13.0,11.8,109.8,102.2,102.7,109.3
"Thu, Feb 1, 2024",10:00p,Philadelphia 76ers,127,Utah Jazz,124,Box Score,,"18,206",2:26,Delta Center,,https://www.basketball-reference.com/boxscores/202402010UTA.html,.615,.633,.574,.586,.340,.414,.223,.287,48.2,51.8,57.4,80.0,6.3,3.1,21.6,14.5,4.6,10.1,133.4,129.5,130.2,132.7
"Fri, Feb 2, 2024",7:00p,Los Angeles Clippers,136,Detroit Pistons,125,Box Score,,"19,122",,Little Caesars Arena,,https://www.basketball-reference.com/boxscores/202402020DET.html,.698,.628,.674,.601,.326,.449,.213,.270,48.6,51.4,58.5,62.2,12.0,5.0,10.2,5.0,10.2,14.6,136.5,126.1,125.5,137.2
"Fri, Feb 2, 2024",7:00p,Miami Heat,110,Washington Wizards,102,Box Score,,"18,308",2:23,Capital One Arena,,https://www.basketball-reference.com/boxscores/202402020WAS.html,.532,.514,.472,.472,.352,.467,.398,.233,57.8,42.2,63.2,75.7,4.0,5.0,2.1,7.0,10.4,8.3,110.5,102.0,102.5,110.0
"Fri, Feb 2, 2024",7:30p,Phoenix Suns,120,Atlanta Hawks,129,Box Score,,"16,536",2:10,State Farm Arena,,https://www.basketball-reference.com/boxscores/202402020ATL.html,.637,.627,.614,.605,.420,.463,.159,.189,46.9,53.1,66.0,59.2,6.0,7.0,9.8,7.8,15.3,8.9,120.8,129.8,129.8,120.8
"Fri, Feb 2, 2024",7:30p,Sacramento Kings,133,Indiana Pacers,122,Box Score,,"17,274",2:17,Gainbridge Fieldhouse,,https://www.basketball-reference.com/boxscores/202402020IND.html,.650,.638,.639,.600,.378,.341,.311,.282,49.4,50.6,51.0,50.0,13.9,12.1,5.4,5.4,14.2,18.7,122.9,113.3,112.8,123.5
"Fri, Feb 2, 2024",8:00p,Toronto Raptors,106,Houston Rockets,135,Box Score,,"18,055",2:03,Toyota Center,,https://www.basketball-reference.com/boxscores/202402020HOU.html,.531,.672,.500,.651,.363,.333,.220,.183,43.0,57.0,42.5,54.5,10.5,8.5,8.1,5.2,12.3,13.0,100.9,127.9,128.5,100.4
"Fri, Feb 2, 2024",8:00p,Golden State Warriors,121,Memphis Grizzlies,101,Box Score,,"17,794",2:20,FedEx Forum,,https://www.basketball-reference.com/boxscores/202402020MEM.html,.653,.518,.620,.483,.349,.529,.265,.276,55.4,44.6,69.6,85.7,7.1,7.0,19.5,7.4,13.1,12.5,122.1,101.4,101.9,121.5
"Fri, Feb 2, 2024",8:00p,Orlando Magic,108,Minnesota Timberwolves,106,Box Score,,"18,024",2:16,Target Center,,https://www.basketball-reference.com/boxscores/202402020MIN.html,.560,.584,.512,.537,.294,.463,.306,.244,52.5,47.5,61.5,63.2,11.1,8.2,9.1,8.3,13.5,15.8,109.0,108.0,106.9,110.1
