Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,LOG,Arena,Notes,Boxscore Link,Team 1 TS PCT,Team 2 TS PCT,Team 1 EFG PCT,Team 2 EFG PCT,Team 1 3P AR,Team 2 3P AR,Team 1 FT AR,Team 2 FT AR,Team 1 TRB PCT,Team 2 TRB PCT,Team 1 AST PCT,Team 2 AST PCT,Team 1 STL PCT,Team 2 STL PCT,Team 1 BLK PCT,Team 2 BLK PCT,Team 1 TO PCT,Team 2 TO PCT,Team 1 OFF RT,Team 2 OFF RT,Team 1 DEF RT,Team 2 DEF RT
"Mon, Jan 1, 2024",3:00p,Minnesota Timberwolves,106,New York Knicks,112,Box Score,,"19,812",2:28,Madison Square Garden (IV),,https://www.basketball-reference.com/boxscores/202401010NYK.html,.597,.553,.546,.506,.368,.382,.382,.315,41.0,59.0,52.8,59.0,6.3,7.3,7.3,8.3,13.6,12.9,110.7,116.3,116.9,110.1
"Mon, Jan 1, 2024",7:30p,Cleveland Cavaliers,121,Toronto Raptors,124,Box Score,,"19,800",2:28,Scotiabank Arena,,https://www.basketball-reference.com/boxscores/202401010TOR.html,.602,.593,.551,.546,.404,.345,.292,.460,47.8,52.2,58.1,59.5,8.8,4.9,3.5,7.5,8.2,9.5,117.9,120.8,120.8,117.9
"Mon, Jan 1, 2024",8:00p,Detroit Pistons,113,Houston Rockets,136,Box Score,,"18,055",2:06,Toyota Center,,https://www.basketball-reference.com/boxscores/202401010HOU.html,.595,.670,.560,.643,.349,.385,.325,.264,48.7,51.3,67.5,66.7,3.0,10.8,7.1,1.9,15.9,9.0,111.4,134.0,134.0,111.4
"Mon, Jan 1, 2024",8:00p,Indiana Pacers,122,Milwaukee Bucks,113,Box Score,,"17,922",2:22,Fiserv Forum,,https://www.basketball-reference.com/boxscores/202401010MIL.html,.536,.541,.469,.495,.361,.430,.392,.280,53.1,46.9,53.5,65.9,6.7,3.8,9.4,12.9,5.8,9.5,117.1,108.5,108.5,117.1
"Mon, Jan 1, 2024",9:00p,Charlotte Hornets,93,Denver Nuggets,111,Box Score,,"19,625",2:01,Ball Arena,,https://www.basketball-reference.com/boxscores/202401010DEN.html,.500,.610,.477,.584,.302,.458,.186,.217,50.6,49.4,66.7,65.9,4.1,9.4,11.1,15.0,13.1,10.8,96.2,115.4,114.8,96.7
"Mon, Jan 1, 2024",9:00p,Portland Trail Blazers,88,Phoenix Suns,109,Box Score,,"17,071",2:12,Footprint Center,,https://www.basketball-reference.com/boxscores/202401010PHO.html,.498,.577,.463,.544,.375,.363,.238,.413,43.4,56.6,63.6,63.2,6.0,10.1,19.6,10.0,17.7,14.5,88.6,110.3,109.8,89.1
"Mon, Jan 1, 2024",9:00p,Dallas Mavericks,90,Utah Jazz,127,Box Score,,"18,206",2:05,Delta Center,,https://www.basketball-reference.com/boxscores/202401010UTA.html,.462,.611,.457,.573,.430,.458,.108,.188,43.6,56.4,75.7,75.5,5.7,8.5,9.6,11.3,14.1,11.1,85.5,120.1,120.7,85.1
"Mon, Jan 1, 2024",10:30p,Miami Heat,104,Los Angeles Clippers,121,Box Score,,"19,370",2:10,Crypto.com Arena,,https://www.basketball-reference.com/boxscores/202401010LAC.html,.543,.702,.488,.675,.410,.363,.349,.175,48.6,51.4,68.6,53.2,7.5,10.6,5.9,6.1,12.8,16.5,110.9,128.3,129.0,110.3
"Tue, Jan 2, 2024",7:00p,Chicago Bulls,97,Philadelphia 76ers,110,Box Score,,"19,772",2:17,Wells Fargo Center,,https://www.basketball-reference.com/boxscores/202401020PHI.html,.457,.590,.422,.550,.385,.375,.240,.375,54.3,45.7,45.9,73.7,8.8,8.8,14.0,10.2,14.5,16.9,95.2,107.0,108.0,94.3
"Tue, Jan 2, 2024",8:00p,San Antonio Spurs,98,Memphis Grizzlies,106,Box Score,,"17,794",2:21,FedEx Forum,,https://www.basketball-reference.com/boxscores/202401020MEM.html,.515,.582,.482,.538,.365,.475,.271,.313,46.5,53.5,58.3,64.9,6.0,5.1,19.0,14.8,14.4,14.2,98.4,107.5,106.4,99.3
"Tue, Jan 2, 2024",8:00p,Brooklyn Nets,85,New Orleans Pelicans,112,Box Score,,"16,253",1:56,Smoothie King Center,,https://www.basketball-reference.com/boxscores/202401020NOP.html,.419,.584,.413,.557,.439,.443,.082,.205,44.8,55.2,74.3,56.1,7.6,11.0,8.2,16.4,12.9,15.1,92.1,122.7,121.4,93.1
"Tue, Jan 2, 2024",8:00p,Boston Celtics,123,Oklahoma City Thunder,127,Box Score,,"18,203",2:16,Paycom Center,,https://www.basketball-reference.com/boxscores/202401020OKC.html,.587,.645,.538,.626,.435,.440,.315,.187,55.3,44.7,78.6,70.8,7.2,7.2,19.6,19.2,11.8,10.9,127.0,129.8,131.1,125.7
