Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,LOG,Arena,Notes,Boxscore Link,Team 1 TS PCT,Team 2 TS PCT,Team 1 EFG PCT,Team 2 EFG PCT,Team 1 3P AR,Team 2 3P AR,Team 1 FT AR,Team 2 FT AR,Team 1 TRB PCT,Team 2 TRB PCT,Team 1 AST PCT,Team 2 AST PCT,Team 1 STL PCT,Team 2 STL PCT,Team 1 BLK PCT,Team 2 BLK PCT,Team 1 TO PCT,Team 2 TO PCT,Team 1 OFF RT,Team 2 OFF RT,Team 1 DEF RT,Team 2 DEF RT
"Fri, Mar 1, 2024",7:00p,Cleveland Cavaliers,110,Detroit Pistons,100,Box Score,,"19,299",2:12,Little Caesars Arena,,https://www.basketball-reference.com/boxscores/202403010DET.html,.572,.493,.506,.427,.494,.404,.361,.315,55.8,44.2,75.8,72.7,7.2,10.3,11.3,16.7,14.3,8.2,113.3,103.0,103.0,113.3
"Fri, Mar 1, 2024",7:00p,Charlotte Hornets,114,Philadelphia 76ers,121,Box Score,,"19,788",2:12,Wells Fargo Center,,https://www.basketball-reference.com/boxscores/202403010PHI.html,.623,.600,.595,.578,.393,.458,.202,.115,40.0,60.0,55.8,82.6,5.7,5.7,11.5,13.7,5.2,6.5,129.9,137.9,137.9,129.9
"Fri, Mar 1, 2024",7:30p,Dallas Mavericks,110,Boston Celtics,138,Box Score,,"19,156",2:08,TD Garden,,https://www.basketball-reference.com/boxscores/202403010BOS.html,.540,.692,.516,.665,.362,.457,.191,.138,47.2,52.8,45.5,63.5,4.1,4.1,7.8,13.3,7.3,8.3,112.0,141.3,140.5,112.6
"Fri, Mar 1, 2024",7:30p,Golden State Warriors,120,Toronto Raptors,105,Box Score,,"19,800",2:10,Scotiabank Arena,,https://www.basketball-reference.com/boxscores/202403010TOR.html,.566,.512,.541,.495,.449,.474,.184,.179,54.4,45.6,59.1,75.6,9.7,8.7,10.0,3.7,11.7,12.0,116.6,102.0,102.0,116.6
"Fri, Mar 1, 2024",8:00p,Portland Trail Blazers,122,Memphis Grizzlies,92,Box Score,,"15,493",2:08,FedEx Forum,,https://www.basketball-reference.com/boxscores/202403010MEM.html,.616,.519,.592,.500,.337,.304,.174,.278,60.5,39.5,64.6,42.9,13.6,6.2,14.5,13.1,12.4,20.6,127.4,95.1,96.1,126.1
"Fri, Mar 1, 2024",8:00p,Sacramento Kings,124,Minnesota Timberwolves,120,Box Score,OT,"18,024",2:37,Target Center,,https://www.basketball-reference.com/boxscores/202403010MIN.html,.561,.606,.555,.565,.290,.365,.240,.376,50.6,49.4,58.0,69.0,7.9,3.9,11.1,7.0,6.7,11.6,122.2,118.2,118.2,122.2
"Fri, Mar 1, 2024",8:00p,Indiana Pacers,102,New Orleans Pelicans,129,Box Score,,"17,898",2:12,Smoothie King Center,,https://www.basketball-reference.com/boxscores/202403010NOP.html,.496,.662,.474,.645,.337,.372,.189,.302,48.4,51.6,62.5,52.1,9.0,9.0,14.8,6.3,13.5,14.9,101.5,128.4,128.4,101.5
"Fri, Mar 1, 2024",10:00p,Milwaukee Bucks,113,Chicago Bulls,97,Box Score,,"21,249",2:24,United Center,,https://www.basketball-reference.com/boxscores/202403010CHI.html,.565,.521,.517,.483,.535,.314,.372,.186,52.7,47.3,59.5,69.4,7.4,4.2,6.8,5.0,6.5,11.4,119.0,102.2,102.2,119.0
"Fri, Mar 1, 2024",10:30p,Washington Wizards,115,Los Angeles Clippers,140,Box Score,,"19,370",2:07,Crypto.com Arena,,https://www.basketball-reference.com/boxscores/202403010LAC.html,.550,.667,.531,.644,.347,.340,.153,.266,44.3,55.7,63.0,59.3,4.9,4.9,4.8,10.9,8.7,7.9,111.7,136.0,136.0,111.7
"Sat, Mar 2, 2024",3:00p,Atlanta Hawks,102,Brooklyn Nets,114,Box Score,,"18,075",2:18,Barclays Center,,https://www.basketball-reference.com/boxscores/202403020BRK.html,.525,.584,.489,.551,.391,.364,.264,.250,48.3,51.7,62.2,68.3,4.3,6.4,7.1,15.1,11.0,10.1,109.5,122.3,122.3,109.5
"Sat, Mar 2, 2024",5:00p,Utah Jazz,120,Miami Heat,126,Box Score,,"19,858",2:14,Kaseya Center,,https://www.basketball-reference.com/boxscores/202403020MIA.html,.610,.636,.563,.597,.402,.386,.299,.284,55.3,44.7,57.1,71.7,3.2,6.4,9.3,11.5,10.1,5.7,127.8,135.0,134.2,128.5
"Sat, Mar 2, 2024",8:00p,Portland Trail Blazers,107,Memphis Grizzlies,100,Box Score,OT,"16,381",2:37,FedEx Forum,,https://www.basketball-reference.com/boxscores/202403020MEM.html,.522,.513,.484,.452,.380,.482,.261,.398,52.6,47.4,59.0,70.0,7.4,13.8,11.6,15.8,18.3,19.7,98.8,91.9,92.3,98.3
"Sat, Mar 2, 2024",8:30p,Denver Nuggets,124,Los Angeles Lakers,114,Box Score,,"18,997",2:02,Crypto.com Arena,,https://www.basketball-reference.com/boxscores/202403020LAL.html,.652,.607,.647,.596,.283,.326,.076,.124,60.3,39.7,63.0,70.2,5.4,5.4,11.7,6.1,9.5,6.9,133.1,122.3,122.3,133.1
"Sat, Mar 2, 2024",9:00p,Houston Rockets,118,Phoenix Suns,109,Box Score,,"17,071",2:34,Footprint Center,,https://www.basketball-reference.com/boxscores/202403020PHO.html,.549,.557,.521,.512,.438,.341,.271,.341,51.0,49.0,64.3,59.0,12.4,5.7,5.4,11.1,10.8,16.3,112.2,104.1,103.6,112.7
"Sun, Mar 3, 2024",1:00p,Philadelphia 76ers,120,Dallas Mavericks,116,Box Score,,"20,277",2:25,American Airlines Center,,https://www.basketball-reference.com/boxscores/202403030DAL.html,.590,.603,.517,.558,.420,.477,.352,.267,48.3,51.7,65.0,50.0,10.4,6.3,11.1,3.9,8.1,15.0,124.6,121.0,120.4,125.2
"Sun, Mar 3, 2024",3:30p,Golden State Warriors,88,Boston Celtics,140,Box Score,,"19,156",2:07,TD Garden,,https://www.basketball-reference.com/boxscores/202403030BOS.html,.450,.694,.429,.682,.446,.510,.141,.115,47.4,52.6,66.7,66.0,2.0,9.9,6.4,9.8,14.8,7.4,87.6,138.7,139.4,87.2
"Sun, Mar 3, 2024",3:30p,Los Angeles Clippers,89,Minnesota Timberwolves,88,Box Score,,"18,024",2:13,Target Center,,https://www.basketball-reference.com/boxscores/202403030MIN.html,.481,.500,.435,.444,.400,.413,.200,.225,42.6,57.4,53.1,77.4,7.7,4.4,10.6,13.7,8.9,14.6,98.4,97.3,97.3,98.4
"Sun, Mar 3, 2024",6:00p,Detroit Pistons,91,Orlando Magic,113,Box Score,,"19,459",2:10,Kia Center,,https://www.basketball-reference.com/boxscores/202403030ORL.html,.480,.681,.430,.646,.419,.319,.233,.347,36.8,63.2,75.8,55.8,11.3,7.1,4.1,12.0,11.2,21.0,93.5,115.0,116.1,92.6
"Sun, Mar 3, 2024",6:00p,Charlotte Hornets,106,Toronto Raptors,111,Box Score,,"19,512",2:14,Scotiabank Arena,,https://www.basketball-reference.com/boxscores/202403030TOR.html,.535,.561,.511,.533,.293,.418,.174,.198,50.0,50.0,55.8,64.3,7.9,7.9,11.3,9.2,14.7,13.9,105.0,109.4,109.9,104.5
"Sun, Mar 3, 2024",7:00p,New York Knicks,107,Cleveland Cavaliers,98,Box Score,,"19,432",2:07,Rocket Mortgage Fieldhouse,,https://www.basketball-reference.com/boxscores/202403030CLE.html,.592,.541,.581,.546,.453,.506,.116,.092,54.7,45.3,76.2,79.5,8.9,7.9,20.9,10.6,11.7,10.8,119.4,110.6,109.4,120.8
"Sun, Mar 3, 2024",7:00p,Indiana Pacers,105,San Antonio Spurs,117,Box Score,,"18,027",2:15,Frost Bank Center,,https://www.basketball-reference.com/boxscores/202403030SAS.html,.513,.627,.473,.600,.323,.294,.226,.224,48.3,51.7,48.8,71.7,9.3,6.2,6.7,12.7,10.5,14.6,108.7,121.2,121.2,108.7
"Sun, Mar 3, 2024",9:30p,Oklahoma City Thunder,118,Phoenix Suns,110,Box Score,,"17,071",2:21,Footprint Center,,https://www.basketball-reference.com/boxscores/202403030PHO.html,.543,.556,.525,.516,.304,.429,.147,.198,45.1,54.9,42.9,65.0,15.8,2.0,15.4,9.9,5.2,18.2,116.4,108.5,108.5,116.4
"Mon, Mar 4, 2024",7:30p,Memphis Grizzlies,106,Brooklyn Nets,102,Box Score,,"15,847",2:28,Barclays Center,,https://www.basketball-reference.com/boxscores/202403040BRK.html,.578,.553,.537,.538,.451,.532,.268,.380,60.2,39.8,68.4,77.1,6.6,11.0,8.1,13.3,17.2,12.4,116.4,112.6,112.0,117.0
"Mon, Mar 4, 2024",8:00p,Los Angeles Clippers,106,Milwaukee Bucks,113,Box Score,,"17,875",2:13,Fiserv Forum,,https://www.basketball-reference.com/boxscores/202403040MIL.html,.558,.626,.536,.571,.476,.487,.298,.359,45.2,54.8,67.6,54.1,9.2,8.2,7.5,6.8,12.8,11.7,108.8,116.0,116.0,108.8
"Mon, Mar 4, 2024",8:00p,Portland Trail Blazers,114,Minnesota Timberwolves,119,Box Score,,"18,024",2:17,Target Center,,https://www.basketball-reference.com/boxscores/202403040MIN.html,.589,.624,.576,.576,.424,.354,.120,.468,50.6,49.4,62.2,70.0,5.3,9.6,5.9,13.2,12.6,10.4,121.3,127.3,126.7,122.0
"Mon, Mar 4, 2024",9:00p,Washington Wizards,115,Utah Jazz,127,Box Score,,"18,206",2:07,Delta Center,,https://www.basketball-reference.com/boxscores/202403040UTA.html,.552,.590,.511,.564,.404,.396,.245,.149,45.7,54.3,65.0,59.2,5.7,5.6,4.9,16.1,12.6,10.8,109.1,119.4,120.5,108.1
"Mon, Mar 4, 2024",10:00p,Chicago Bulls,113,Sacramento Kings,109,Box Score,,"17,832",2:19,Golden 1 Center,,https://www.basketball-reference.com/boxscores/202403040SAC.html,.603,.545,.565,.505,.381,.402,.262,.196,38.6,61.4,66.7,70.7,9.7,6.4,3.6,11.5,9.6,15.3,121.2,116.9,116.9,121.2
"Mon, Mar 4, 2024",10:30p,Oklahoma City Thunder,104,Los Angeles Lakers,116,Box Score,,"18,997",2:04,Crypto.com Arena,,https://www.basketball-reference.com/boxscores/202403040LAL.html,.515,.637,.473,.613,.415,.425,.170,.313,40.9,59.1,59.5,70.7,12.5,8.3,15.2,12.7,9.0,18.8,107.9,119.8,120.4,107.4
"Tue, Mar 5, 2024",7:00p,Orlando Magic,101,Charlotte Hornets,89,Box Score,,"15,928",2:08,Spectrum Center,,https://www.basketball-reference.com/boxscores/202403050CHO.html,.627,.579,.628,.542,.473,.458,.203,.153,56.9,43.1,57.5,57.6,9.9,7.7,2.6,2.6,18.3,19.8,111.1,98.4,97.9,111.7
"Tue, Mar 5, 2024",7:30p,Philadelphia 76ers,107,Brooklyn Nets,112,Box Score,,"17,086",2:20,Barclays Center,,https://www.basketball-reference.com/boxscores/202403050BRK.html,.592,.592,.561,.560,.341,.357,.232,.286,46.3,53.7,62.5,61.0,6.4,4.2,3.7,13.0,11.7,12.9,114.4,118.4,119.7,113.1
"Tue, Mar 5, 2024",7:30p,Boston Celtics,104,Cleveland Cavaliers,105,Box Score,,"19,432",2:11,Rocket Mortgage Fieldhouse,,https://www.basketball-reference.com/boxscores/202403050CLE.html,.529,.554,.500,.544,.409,.467,.129,.122,55.8,44.2,61.5,71.8,6.4,11.7,18.8,5.5,11.7,8.7,111.2,111.7,112.3,110.6
"Tue, Mar 5, 2024",7:30p,Detroit Pistons,110,Miami Heat,118,Box Score,,"19,724",2:10,Kaseya Center,,https://www.basketball-reference.com/boxscores/202403050MIA.html,.557,.620,.506,.576,.472,.365,.247,.271,50.0,50.0,66.7,64.3,5.2,7.4,5.6,10.6,10.0,8.6,115.4,124.4,123.8,116.0
"Tue, Mar 5, 2024",7:30p,Atlanta Hawks,116,New York Knicks,100,Box Score,,"19,812",2:07,Madison Square Garden (IV),,https://www.basketball-reference.com/boxscores/202403050NYK.html,.597,.482,.563,.465,.356,.525,.264,.111,56.0,44.0,59.1,71.1,6.3,8.5,10.6,10.7,14.1,10.4,122.2,105.9,105.4,122.9
"Tue, Mar 5, 2024",7:30p,New Orleans Pelicans,139,Toronto Raptors,98,Box Score,,"18,864",2:00,Scotiabank Arena,,https://www.basketball-reference.com/boxscores/202403050TOR.html,.633,.477,.619,.457,.467,.473,.105,.237,57.9,42.1,71.7,58.3,8.9,5.9,10.2,12.5,9.1,10.5,137.2,96.2,96.7,136.5
"Tue, Mar 5, 2024",8:00p,San Antonio Spurs,101,Houston Rockets,114,Box Score,,"16,734",2:06,Toyota Center,,https://www.basketball-reference.com/boxscores/202403050HOU.html,.537,.519,.506,.510,.414,.324,.184,.105,49.5,50.5,63.2,46.9,1.0,15.3,14.1,9.8,16.8,6.0,103.2,115.9,116.5,102.7
"Tue, Mar 5, 2024",8:30p,Indiana Pacers,137,Dallas Mavericks,120,Box Score,,"20,200",2:14,American Airlines Center,,https://www.basketball-reference.com/boxscores/202403050DAL.html,.661,.587,.634,.554,.419,.419,.258,.226,51.2,48.8,68.0,51.1,3.0,5.0,3.7,11.1,8.0,8.1,136.2,119.9,119.3,136.9
"Tue, Mar 5, 2024",10:00p,Phoenix Suns,117,Denver Nuggets,107,Box Score,OT,"19,589",2:24,Ball Arena,,https://www.basketball-reference.com/boxscores/202403050DEN.html,.554,.524,.516,.505,.354,.417,.229,.146,50.5,49.5,76.2,61.0,8.7,5.8,12.5,9.7,8.6,12.8,113.2,103.6,103.6,113.2
"Wed, Mar 6, 2024",7:00p,Orlando Magic,119,Washington Wizards,109,Box Score,,"16,018",2:14,Capital One Arena,,https://www.basketball-reference.com/boxscores/202403060WAS.html,.659,.563,.617,.523,.321,.432,.259,.227,54.5,45.5,47.7,65.0,4.3,7.4,10.0,7.3,14.3,8.5,126.5,115.8,115.8,126.5
