Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,LOG,Arena,Notes,Boxscore Link,Team 1 TS PCT,Team 2 TS PCT,Team 1 EFG PCT,Team 2 EFG PCT,Team 1 3P AR,Team 2 3P AR,Team 1 FT AR,Team 2 FT AR,Team 1 TRB PCT,Team 2 TRB PCT,Team 1 AST PCT,Team 2 AST PCT,Team 1 STL PCT,Team 2 STL PCT,Team 1 BLK PCT,Team 2 BLK PCT,Team 1 TO PCT,Team 2 TO PCT,Team 1 OFF RT,Team 2 OFF RT,Team 1 DEF RT,Team 2 DEF RT
"Wed, May 1, 2024",7:30p,Miami Heat,84,Boston Celtics,118,Box Score,,"19,156",2:11,TD Garden,,https://www.basketball-reference.com/boxscores/202405010BOS.html,.460,.664,.431,.649,.333,.519,.115,.351,34.1,65.9,55.6,54.8,4.3,5.3,0.0,5.2,6.2,14.4,89.3,124.8,125.5,88.9
"Wed, May 1, 2024",10:00p,Dallas Mavericks,123,Los Angeles Clippers,93,Box Score,,"19,370",2:16,Crypto.com Arena,,https://www.basketball-reference.com/boxscores/202405010LAC.html,.642,.483,.621,.431,.448,.402,.230,.241,47.1,52.9,57.4,54.5,5.4,4.3,11.5,0.0,9.5,13.5,132.4,100.1,100.1,132.4
"Thu, May 2, 2024",6:30p,Milwaukee Bucks,98,Indiana Pacers,120,Box Score,,"17,274",2:27,Gainbridge Fieldhouse,,https://www.basketball-reference.com/boxscores/202405020IND.html,.505,.649,.464,.618,.325,.471,.386,.200,47.6,52.4,54.3,71.7,4.3,7.5,0.0,5.4,11.0,10.6,105.6,128.6,129.3,105.0
"Thu, May 2, 2024",9:00p,New York Knicks,118,Philadelphia 76ers,115,Box Score,,"21,093",2:37,Wells Fargo Center,,https://www.basketball-reference.com/boxscores/202405020PHI.html,.570,.592,.538,.534,.333,.460,.258,.264,51.1,48.9,65.1,52.6,6.7,6.7,17.0,8.1,8.0,11.0,132.3,128.3,129.0,131.6
"Fri, May 3, 2024",7:00p,Cleveland Cavaliers,96,Orlando Magic,103,Box Score,,"19,193",2:28,Kia Center,,https://www.basketball-reference.com/boxscores/202405030ORL.html,.531,.513,.529,.455,.326,.404,.116,.292,44.2,55.8,35.7,54.3,8.4,6.3,18.9,6.9,14.2,12.2,100.9,108.8,108.2,101.4
"Fri, May 3, 2024",9:30p,Los Angeles Clippers,101,Dallas Mavericks,114,Box Score,,"20,625",2:35,American Airlines Center,,https://www.basketball-reference.com/boxscores/202405030DAL.html,.526,.584,.463,.554,.378,.434,.390,.398,50.0,50.0,67.6,65.0,4.6,6.9,4.3,7.8,10.3,9.3,115.9,131.6,130.8,116.6
"Sat, May 4, 2024",7:00p,Minnesota Timberwolves,106,Denver Nuggets,99,Box Score,,"19,915",2:18,Ball Arena,,https://www.basketball-reference.com/boxscores/202405040DEN.html,.607,.591,.591,.553,.329,.413,.146,.267,55.3,44.7,55.8,68.6,4.3,13.0,13.6,3.6,13.8,12.5,114.8,107.2,107.2,114.8
"Sun, May 5, 2024",1:00p,Orlando Magic,94,Cleveland Cavaliers,106,Box Score,,"19,432",2:37,Rocket Mortgage Fieldhouse,,https://www.basketball-reference.com/boxscores/202405050CLE.html,.474,.571,.395,.494,.360,.312,.349,.468,50.5,49.5,58.6,55.9,11.6,8.4,7.5,14.5,14.6,14.7,99.2,110.7,111.8,98.1
"Mon, May 6, 2024",7:30p,Indiana Pacers,117,New York Knicks,121,Box Score,,"19,812",2:30,Madison Square Garden (IV),,https://www.basketball-reference.com/boxscores/202405060NYK.html,.607,.647,.580,.604,.295,.280,.216,.317,44.4,55.6,69.6,56.8,9.4,5.2,8.5,6.5,7.7,13.8,121.8,126.0,126.0,121.8
"Mon, May 6, 2024",10:00p,Minnesota Timberwolves,106,Denver Nuggets,80,Box Score,,"19,942",2:19,Ball Arena,,https://www.basketball-reference.com/boxscores/202405060DEN.html,.588,.440,.577,.404,.393,.361,.167,.217,45.7,54.3,66.7,55.2,12.5,6.7,22.6,11.8,11.7,17.3,120.3,89.2,90.8,118.2
"Tue, May 7, 2024",7:00p,Cleveland Cavaliers,95,Boston Celtics,120,Box Score,,"19,156",2:09,TD Garden,,https://www.basketball-reference.com/boxscores/202405070BOS.html,.496,.611,.472,.587,.467,.500,.144,.152,40.9,59.1,51.4,48.9,2.2,2.2,6.5,14.6,5.0,8.4,105.1,130.5,132.7,103.4
"Tue, May 7, 2024",9:30p,Dallas Mavericks,95,Oklahoma City Thunder,117,Box Score,,"18,203",2:23,Paycom Center,,https://www.basketball-reference.com/boxscores/202405070OKC.html,.500,.577,.464,.539,.417,.393,.298,.315,42.9,57.1,57.6,72.5,5.3,8.5,14.8,16.3,14.4,9.8,101.4,124.2,124.9,100.9
"Wed, May 8, 2024",8:00p,Indiana Pacers,121,New York Knicks,130,Box Score,,"19,812",2:22,Madison Square Garden (IV),,https://www.basketball-reference.com/boxscores/202405080NYK.html,.602,.679,.597,.651,.366,.349,.183,.256,43.6,56.4,68.8,57.1,5.5,5.4,5.4,5.1,8.2,10.3,132.2,140.5,142.0,130.7
"Thu, May 9, 2024",7:00p,Cleveland Cavaliers,118,Boston Celtics,94,Box Score,,"19,156",2:14,TD Garden,,https://www.basketball-reference.com/boxscores/202405090BOS.html,.634,.519,.622,.463,.326,.438,.186,.300,58.7,41.3,51.1,66.7,4.3,5.5,6.7,5.2,11.4,7.2,127.7,102.8,101.7,129.1
"Thu, May 9, 2024",9:30p,Dallas Mavericks,119,Oklahoma City Thunder,110,Box Score,,"18,203",2:27,Paycom Center,,https://www.basketball-reference.com/boxscores/202405090OKC.html,.592,.570,.567,.528,.411,.337,.267,.191,51.8,48.2,71.4,59.5,8.3,5.2,10.2,11.3,9.0,9.4,124.2,114.8,114.8,124.2
"Fri, May 10, 2024",7:00p,New York Knicks,106,Indiana Pacers,111,Box Score,,"17,274",2:27,Gainbridge Fieldhouse,,https://www.basketball-reference.com/boxscores/202405100IND.html,.591,.573,.563,.539,.338,.360,.275,.202,49.4,50.6,50.0,52.4,6.6,6.6,10.5,11.3,12.7,9.4,116.7,122.2,122.2,116.7
"Fri, May 10, 2024",9:30p,Denver Nuggets,117,Minnesota Timberwolves,90,Box Score,,"19,733",2:30,Target Center,,https://www.basketball-reference.com/boxscores/202405100MIN.html,.659,.549,.625,.507,.363,.465,.250,.352,55.6,44.4,60.5,74.2,10.0,5.6,10.5,5.9,11.0,16.3,130.6,99.9,100.5,129.9
"Sat, May 11, 2024",3:30p,Oklahoma City Thunder,101,Dallas Mavericks,105,Box Score,,"20,325",2:25,American Airlines Center,,https://www.basketball-reference.com/boxscores/202405110DAL.html,.565,.515,.531,.489,.370,.363,.235,.275,46.1,53.9,60.5,53.8,7.3,7.3,19.0,3.9,13.5,12.1,104.8,108.9,108.9,104.8
"Sat, May 11, 2024",8:30p,Boston Celtics,106,Cleveland Cavaliers,93,Box Score,,"19,432",2:11,Rocket Mortgage Fieldhouse,,https://www.basketball-reference.com/boxscores/202405110CLE.html,.615,.526,.594,.500,.425,.429,.175,.119,55.7,44.3,53.7,47.2,3.4,4.6,8.3,4.3,12.2,8.3,121.2,107.0,106.4,121.9
"Sun, May 12, 2024",3:30p,New York Knicks,89,Indiana Pacers,121,Box Score,,"17,274",2:15,Gainbridge Fieldhouse,,https://www.basketball-reference.com/boxscores/202405120IND.html,.434,.661,.376,.648,.416,.352,.348,.091,45.3,54.7,60.0,62.0,8.3,9.4,3.5,13.5,12.0,13.3,92.1,126.5,125.2,93.0
"Sun, May 12, 2024",8:00p,Denver Nuggets,115,Minnesota Timberwolves,107,Box Score,,"19,583",2:23,Target Center,,https://www.basketball-reference.com/boxscores/202405120MIN.html,.672,.570,.652,.543,.367,.341,.190,.329,42.5,57.5,64.4,53.8,7.7,5.5,11.1,6.0,12.3,10.5,127.0,118.2,118.2,127.0
"Mon, May 13, 2024",7:00p,Boston Celtics,109,Cleveland Cavaliers,102,Box Score,,"19,432",2:22,Rocket Mortgage Fieldhouse,,https://www.basketball-reference.com/boxscores/202405130CLE.html,.615,.525,.564,.516,.410,.511,.308,.074,60.0,40.0,39.5,63.4,6.5,8.7,8.7,6.5,14.5,7.6,118.5,110.9,110.9,118.5
"Mon, May 13, 2024",9:30p,Oklahoma City Thunder,100,Dallas Mavericks,96,Box Score,,"20,607",2:39,American Airlines Center,,https://www.basketball-reference.com/boxscores/202405130DAL.html,.488,.489,.418,.477,.293,.398,.261,.261,48.9,51.1,51.4,72.2,8.4,4.2,17.0,20.0,7.2,12.5,105.6,101.4,101.4,105.6
"Tue, May 14, 2024",8:00p,Indiana Pacers,91,New York Knicks,121,Box Score,,"19,812",2:36,Madison Square Garden (IV),,https://www.basketball-reference.com/boxscores/202405140NYK.html,.557,.553,.514,.525,.375,.347,.306,.188,35.4,64.6,77.4,55.3,5.4,7.6,9.1,11.1,18.1,7.6,98.7,131.3,131.3,98.7
"Tue, May 14, 2024",10:30p,Minnesota Timberwolves,97,Denver Nuggets,112,Box Score,,"19,992",2:22,Ball Arena,,https://www.basketball-reference.com/boxscores/202405140DEN.html,.562,.637,.538,.606,.333,.238,.244,.225,46.5,53.5,78.9,68.2,7.8,6.6,11.5,9.6,13.9,12.0,108.1,124.1,124.8,107.5
"Wed, May 15, 2024",7:00p,Cleveland Cavaliers,98,Boston Celtics,113,Box Score,,"19,156",2:14,TD Garden,,https://www.basketball-reference.com/boxscores/202405150BOS.html,.581,.663,.563,.644,.392,.538,.152,.150,39.4,60.6,65.8,76.2,5.9,7.0,5.4,12.5,10.6,14.1,115.2,131.3,132.8,113.9
"Wed, May 15, 2024",9:30p,Dallas Mavericks,104,Oklahoma City Thunder,92,Box Score,,"18,203",2:12,Paycom Center,,https://www.basketball-reference.com/boxscores/202405150OKC.html,.636,.503,.618,.483,.461,.460,.171,.115,58.2,41.8,67.5,54.1,5.8,9.2,10.6,4.9,14.6,7.1,120.6,106.1,106.7,119.9
"Thu, May 16, 2024",8:30p,Denver Nuggets,70,Minnesota Timberwolves,115,Box Score,,"19,187",2:12,Target Center,,https://www.basketball-reference.com/boxscores/202405160MIN.html,.380,.595,.343,.552,.419,.465,.163,.279,41.0,59.0,69.2,65.0,2.2,9.9,10.9,8.0,11.5,5.9,76.8,126.1,126.1,76.8
"Fri, May 17, 2024",8:30p,New York Knicks,103,Indiana Pacers,116,Box Score,,"17,274",2:21,Gainbridge Fieldhouse,,https://www.basketball-reference.com/boxscores/202405170IND.html,.551,.600,.518,.588,.415,.286,.317,.143,42.7,57.3,55.6,71.4,6.9,3.5,7.7,16.7,8.8,8.5,118.2,133.9,133.2,118.9
"Sat, May 18, 2024",8:00p,Oklahoma City Thunder,116,Dallas Mavericks,117,Box Score,,"20,555",2:26,American Airlines Center,,https://www.basketball-reference.com/boxscores/202405180DAL.html,.583,.632,.560,.610,.446,.415,.185,.293,39.7,60.3,56.8,59.5,10.4,5.2,10.4,7.8,9.1,16.3,120.4,122.1,121.5,121.1
"Sun, May 19, 2024",3:30p,Indiana Pacers,130,New York Knicks,109,Box Score,,"19,812",2:23,Madison Square Garden (IV),,https://www.basketball-reference.com/boxscores/202405190NYK.html,.755,.563,.753,.500,.304,.412,.203,.318,54.1,45.9,62.3,61.1,7.7,5.5,18.0,3.6,14.0,9.4,142.7,119.6,119.6,142.7
"Sun, May 19, 2024",8:00p,Minnesota Timberwolves,98,Denver Nuggets,90,Box Score,,"20,022",2:25,Ball Arena,,https://www.basketball-reference.com/boxscores/202405190DEN.html,.531,.500,.456,.458,.430,.398,.380,.193,51.6,48.4,58.1,52.9,10.3,3.5,12.0,15.6,8.9,10.0,112.5,104.5,103.3,113.8
"Tue, May 21, 2024",8:00p,Indiana Pacers,128,Boston Celtics,133,Box Score,OT,"19,156",2:46,TD Garden,,https://www.basketball-reference.com/boxscores/202405210BOS.html,.619,.593,.601,.551,.354,.455,.101,.303,50.6,49.4,71.7,63.8,7.2,9.9,7.4,7.8,17.5,11.8,115.2,119.7,119.7,115.2
"Wed, May 22, 2024",8:30p,Dallas Mavericks,108,Minnesota Timberwolves,105,Box Score,,"19,433",2:26,Target Center,,https://www.basketball-reference.com/boxscores/202405220MIN.html,.572,.542,.529,.528,.287,.551,.195,.202,54.5,45.5,48.8,60.5,5.3,8.5,20.0,4.8,12.1,9.4,114.4,111.3,111.3,114.4
"Thu, May 23, 2024",8:00p,Indiana Pacers,110,Boston Celtics,126,Box Score,,"19,156",2:21,TD Garden,,https://www.basketball-reference.com/boxscores/202405230BOS.html,.604,.651,.589,.619,.345,.420,.190,.227,48.1,51.9,52.3,59.6,5.4,9.7,3.9,3.6,14.9,11.0,119.4,135.3,136.8,118.1
"Fri, May 24, 2024",8:30p,Dallas Mavericks,109,Minnesota Timberwolves,108,Box Score,,"19,636",2:29,Target Center,,https://www.basketball-reference.com/boxscores/202405240MIN.html,.582,.545,.560,.482,.369,.365,.262,.376,52.4,47.6,58.5,74.3,7.7,7.7,13.0,13.2,9.6,8.3,119.5,118.4,118.4,119.5
"Sat, May 25, 2024",8:30p,Boston Celtics,114,Indiana Pacers,111,Box Score,,"17,274",2:25,Gainbridge Fieldhouse,,https://www.basketball-reference.com/boxscores/202405250IND.html,.604,.571,.566,.533,.554,.242,.313,.154,45.6,54.4,61.5,69.6,7.3,4.2,17.4,2.7,8.7,10.2,119.6,117.7,116.5,120.9
"Sun, May 26, 2024",8:00p,Minnesota Timberwolves,107,Dallas Mavericks,116,Box Score,,"20,511",2:31,American Airlines Center,,https://www.basketball-reference.com/boxscores/202405260DAL.html,.579,.710,.559,.662,.353,.412,.200,.456,50.8,49.2,60.5,50.0,4.5,8.0,5.0,9.1,9.8,14.6,121.7,131.9,131.9,121.7
