date,arena,team,opponent,home,win,points,opponent_points,true_shooting,opponent_true_shooting,effective_field_goal,opponent_effective_field_goal,3pt_attempted,opponent_3pt_attempted,free_throws_attempted,opponent_free_throws_attempted,rebounds,opponent_rebounds,assists,opponent_assists,steals,opponent_steals,blocks,opponent_blocks,turnovers,opponent_turnovers,offensive_rating,opponent_offensive_rating,defensive_rating,opponent_defensive_rating,team_code,opponent_code,arena_code,weighted_points,weighted_opponent_points,weighted_true_shooting,weighted_opponent_true_shooting,weighted_effective_field_goal,weighted_opponent_effective_field_goal,weighted_3pt_attempted,weighted_opponent_3pt_attempted,weighted_free_throws_attempted,weighted_opponent_free_throws_attempted,weighted_rebounds,weighted_opponent_rebounds,weighted_assists,weighted_opponent_assists,weighted_steals,weighted_opponent_steals,weighted_blocks,weighted_opponent_blocks,weighted_turnovers,weighted_opponent_turnovers,weighted_offensive_rating,weighted_opponent_offensive_rating,weighted_defensive_rating,weighted_opponent_defensive_rating
2023-10-25,Spectrum Center,Atlanta Hawks,Charlotte Hornets,0,0,110,116,0.512,0.595,0.446,0.564,0.312,0.43,0.355,0.302,45.2,54.8,61.5,79.1,11.6,4.8,2.0,4.7,10.0,16.3,106.4,112.2,112.2,106.4,0,3,25,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-27,State Farm Arena,Atlanta Hawks,New York Knicks,1,0,120,126,0.599,0.616,0.552,0.589,0.368,0.489,0.345,0.311,49.4,50.6,66.7,69.8,6.8,8.7,13.0,10.9,12.3,13.5,115.9,121.7,121.7,115.9,0,19,26,110.0,116.0,0.512,0.595,0.44600000000000006,0.564,0.312,0.43,0.355,0.302,45.2,54.8,61.50000000000001,79.1,11.6,4.8,2.0,4.7,10.0,16.3,106.4,112.2,112.2,106.4
2023-10-29,Fiserv Forum,Atlanta Hawks,Milwaukee Bucks,0,1,127,110,0.618,0.58,0.586,0.547,0.398,0.512,0.237,0.233,54.1,45.9,68.1,56.4,14.5,9.7,4.8,5.4,14.2,19.5,123.1,106.6,106.6,123.1,0,16,9,115.2497918747894,121.24979187478941,0.5576731893106678,0.6060245629370578,0.5016477938727677,0.5771244796869734,0.34139883449882064,0.4609737720612575,0.34975020812521057,0.30672481268731044,47.404912587411545,52.59508741258845,64.22989177489049,74.21769355644585,9.080099900101086,6.847418831167867,7.774771062268344,7.954870962369431,11.207452131201563,14.830058275058967,111.38730228104993,117.18730228104994,117.18730228104994,111.38730228104993
2023-10-30,State Farm Arena,Atlanta Hawks,Minnesota Timberwolves,1,1,127,113,0.676,0.585,0.64,0.578,0.349,0.367,0.209,0.167,48.6,51.4,58.3,54.5,6.2,5.1,12.3,8.9,10.5,12.7,131.3,115.7,116.9,130.0,0,17,26,119.56406175421921,117.11925752866793,0.5798231069551594,0.5964692438475364,0.5326190054700645,0.566063813019448,0.3621808241334071,0.47970883750956345,0.3083522327335773,0.2796556122651463,49.863117042727296,50.136882957272704,65.65086161370552,67.67565295492186,11.070099694261618,7.89478794022359,6.682538051977414,7.016810740684402,12.306212169792586,16.54469930166159,115.68779963711926,113.30001119234562,113.30001119234562,115.68779963711926
2023-11-01,State Farm Arena,Atlanta Hawks,Washington Wizards,1,1,130,121,0.613,0.565,0.549,0.554,0.348,0.396,0.348,0.139,62.0,38.0,56.5,62.7,7.2,12.7,4.9,5.0,16.5,9.3,117.7,110.1,109.6,118.3,0,29,26,121.7104557775275,115.9302280548127,0.6075847022762257,0.5931586304948521,0.5636146804283296,0.5695092101636058,0.3583761607261665,0.44717527318877065,0.279674071149505,0.24713741148594434,49.4985165334658,50.5014834665342,63.52902507979181,63.87248221561738,9.664338574256366,7.088068474161089,8.30402633669237,7.560395966563177,11.784846488969556,15.434921445829287,120.19428320946368,113.99277133403709,114.33915302022598,119.81903638275907
2023-11-04,Smoothie King Center,Atlanta Hawks,New Orleans Pelicans,0,1,123,105,0.594,0.563,0.559,0.524,0.441,0.369,0.258,0.25,59.8,40.2,62.2,60.0,4.3,9.7,11.3,13.5,11.2,10.6,132.8,113.4,113.4,132.8,0,18,24,123.71532464720725,117.15637845301279,0.6088944198596135,0.5863483210041445,0.5600800448627645,0.5657582279846289,0.3558666329320702,0.43479827038138086,0.2961990481648823,0.22098382280634182,52.52206455422719,47.477935445772815,61.82901924250228,63.588911366453935,9.06832562598308,8.445342953067607,7.480745074074408,6.941151044327262,12.925230596505758,13.951159167158997,119.5910279972818,113.05128458217982,113.19296450805876,119.45164962735113
2023-11-06,Paycom Center,Atlanta Hawks,Oklahoma City Thunder,0,0,117,126,0.504,0.605,0.441,0.553,0.412,0.372,0.314,0.245,54.6,45.4,71.1,60.0,7.8,6.8,5.1,11.7,11.4,11.1,113.6,122.3,122.3,113.6,0,20,21,123.56445165087939,114.59241082116621,0.6057529570824558,0.5814238001409632,0.5598522467500474,0.5569507739118805,0.3738225725563574,0.4209204007394121,0.2881422799883508,0.22710378192179906,54.05709334440158,45.94290665559842,61.90726480370609,62.8319546286622,8.062612237708702,8.709969467439212,8.286284819788465,8.324513407510992,12.561352865649507,13.244348033648086,122.37700383670159,113.12483403997867,113.23663148519611,122.2670225137996
2023-11-09,Mexico City Arena,Atlanta Hawks,Orlando Magic,0,1,120,119,0.611,0.565,0.571,0.522,0.459,0.3,0.353,0.389,43.4,56.6,53.7,45.2,12.5,11.6,11.1,13.0,15.5,15.3,115.5,115.1,114.6,116.1,0,21,18,122.32354594633685,116.74883503448132,0.5865181707494989,0.5858805076395391,0.5373851102954627,0.5562039426233976,0.3810394110706953,0.41167277312714823,0.29303027276755284,0.23048677874835072,54.159721256342394,45.8402787436576,63.64500592087952,62.29661842076405,8.012969549912876,8.348919964190925,7.683968096404092,8.962595731975266,12.341817484384533,12.838992971413447,120.71785015426174,114.85925397106152,114.94991787841447,120.62865906004001
2023-11-11,State Farm Arena,Atlanta Hawks,Miami Heat,1,0,109,117,0.574,0.616,0.54,0.56,0.529,0.452,0.207,0.298,55.2,44.8,60.5,56.1,6.0,10.0,13.0,9.8,18.8,13.6,108.8,117.3,116.8,109.3,0,15,26,121.92200924446364,117.13786343181174,0.5907489254666879,0.5822721046362597,0.543194167769481,0.5502930897161362,0.3945119390420577,0.3923743740224491,0.3033937633295183,0.2578797709829291,52.300311937082554,47.69968806291746,61.926389216150525,59.342117011105366,8.788382410146289,8.91074571898729,8.274299519041188,9.660307776993116,12.887589429730927,13.2642846025531,119.81614285421283,114.90085778208213,114.88944785799309,119.84605227503384
2023-11-14,Little Caesars Arena,Atlanta Hawks,Detroit Pistons,0,1,126,120,0.64,0.599,0.586,0.578,0.379,0.322,0.299,0.256,49.4,50.6,62.2,76.6,8.9,8.9,11.5,11.1,12.5,14.5,125.1,119.1,119.1,125.1,0,8,16,119.84983382564559,117.11575563037393,0.5880630651653144,0.5876807151997566,0.5426819505275428,0.5518496913639421,0.41607846548305616,0.4019359487083097,0.28793604440052345,0.26431345716854643,52.76530636732505,47.234693632674954,61.697653218872034,58.82221062129816,8.34123697175053,9.085418705459878,9.032113585575384,9.68270884367235,13.835704511363504,13.31811997607338,118.04959246713055,115.28558460251435,115.19582429761167,118.15488568658259
