Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,LOG,Arena,Notes,Boxscore Link,Team 1 TS PCT,Team 2 TS PCT,Team 1 EFG PCT,Team 2 EFG PCT,Team 1 3P AR,Team 2 3P AR,Team 1 FT AR,Team 2 FT AR,Team 1 TRB PCT,Team 2 TRB PCT,Team 1 AST PCT,Team 2 AST PCT,Team 1 STL PCT,Team 2 STL PCT,Team 1 BLK PCT,Team 2 BLK PCT,Team 1 TO PCT,Team 2 TO PCT,Team 1 OFF RT,Team 2 OFF RT,Team 1 DEF RT,Team 2 DEF RT
"Wed, Nov 1, 2023",7:00p,Portland Trail Blazers,110,Detroit Pistons,101,Box Score,,"16,912",2:08,Little Caesars Arena,,https://www.basketball-reference.com/boxscores/202311010DET.html,.576,.532,.512,.506,.247,.322,.407,.122,53.7,46.3,60.5,60.0,9.6,11.5,11.5,6.6,15.1,16.0,105.8,97.2,97.2,105.8
"Wed, Nov 1, 2023",7:00p,Milwaukee Bucks,111,Toronto Raptors,130,Box Score,,"19,800",2:19,Scotiabank Arena,,https://www.basketball-reference.com/boxscores/202311010TOR.html,.599,.669,.546,.643,.447,.418,.500,.154,36.7,63.3,54.3,68.6,9.4,7.2,3.8,14.3,11.5,15.6,116.1,134.6,136.0,114.9
"Wed, Nov 1, 2023",7:30p,Washington Wizards,121,Atlanta Hawks,130,Box Score,,"15,925",2:11,State Farm Arena,,https://www.basketball-reference.com/boxscores/202311010ATL.html,.565,.613,.554,.549,.396,.348,.139,.348,38.0,62.0,62.7,56.5,12.7,7.2,5.0,4.9,9.3,16.5,110.1,117.7,118.3,109.6
"Wed, Nov 1, 2023",7:30p,Indiana Pacers,104,Boston Celtics,155,Box Score,,"19,156",2:03,TD Garden,,https://www.basketball-reference.com/boxscores/202311010BOS.html,.489,.722,.480,.674,.366,.368,.119,.295,35.2,64.8,56.5,50.0,5.7,4.7,10.0,3.1,7.8,10.8,99.5,146.9,148.3,98.5
"Wed, Nov 1, 2023",7:30p,Brooklyn Nets,109,Miami Heat,105,Box Score,,"19,600",2:14,Kaseya Center,,https://www.basketball-reference.com/boxscores/202311010MIA.html,.583,.531,.549,.500,.439,.418,.317,.198,50.5,49.5,73.0,56.4,10.8,9.7,7.5,10.9,16.2,15.4,106.6,101.7,102.7,105.5
"Wed, Nov 1, 2023",7:30p,Cleveland Cavaliers,95,New York Knicks,89,Box Score,,"19,812",2:22,Madison Square Garden (IV),,https://www.basketball-reference.com/boxscores/202311010NYK.html,.574,.423,.514,.375,.432,.326,.270,.326,47.9,52.1,68.8,56.3,7.3,10.4,8.1,7.1,17.9,11.7,99.0,92.3,92.7,98.5
"Wed, Nov 1, 2023",7:30p,New Orleans Pelicans,110,Oklahoma City Thunder,106,Box Score,,"15,764",2:32,Paycom Center,,https://www.basketball-reference.com/boxscores/202311010OKC.html,.479,.535,.456,.472,.412,.386,.284,.284,54.2,45.8,57.5,60.5,7.7,5.8,9.3,8.3,8.7,13.2,106.5,102.7,102.7,106.5
"Wed, Nov 1, 2023",8:00p,Charlotte Hornets,119,Houston Rockets,128,Box Score,,"16,263",2:08,Toyota Center,,https://www.basketball-reference.com/boxscores/202311010HOU.html,.589,.680,.561,.649,.300,.440,.278,.274,53.7,46.3,46.7,79.5,8.9,9.9,17.0,3.2,13.7,15.3,117.7,126.6,126.6,117.7
"Wed, Nov 1, 2023",8:00p,Denver Nuggets,89,Minnesota Timberwolves,110,Box Score,,"18,024",2:10,Target Center,,https://www.basketball-reference.com/boxscores/202311010MIN.html,.443,.580,.427,.506,.344,.253,.104,.325,47.8,52.2,60.5,52.6,6.1,9.1,16.1,7.9,13.7,12.9,89.8,110.9,110.9,89.8
"Wed, Nov 1, 2023",8:30p,Chicago Bulls,105,Dallas Mavericks,114,Box Score,,"20,103",2:07,American Airlines Center,,https://www.basketball-reference.com/boxscores/202311010DAL.html,.559,.611,.534,.580,.371,.593,.124,.346,48.9,51.1,45.2,62.2,10.9,7.5,9.1,3.6,12.2,13.8,114.1,122.6,123.9,112.9
