date,arena,team,opponent,home,win,points,opponent_points,true_shooting,opponent_true_shooting,effective_field_goal,opponent_effective_field_goal,3pt_attempted,opponent_3pt_attempted,free_throws_attempted,opponent_free_throws_attempted,rebounds,opponent_rebounds,assists,opponent_assists,steals,opponent_steals,blocks,opponent_blocks,turnovers,opponent_turnovers,offensive_rating,opponent_offensive_rating,defensive_rating,opponent_defensive_rating,team_code,opponent_code,arena_code,weighted_points,weighted_opponent_points,weighted_true_shooting,weighted_opponent_true_shooting,weighted_effective_field_goal,weighted_opponent_effective_field_goal,weighted_3pt_attempted,weighted_opponent_3pt_attempted,weighted_free_throws_attempted,weighted_opponent_free_throws_attempted,weighted_rebounds,weighted_opponent_rebounds,weighted_assists,weighted_opponent_assists,weighted_steals,weighted_opponent_steals,weighted_blocks,weighted_opponent_blocks,weighted_turnovers,weighted_opponent_turnovers,weighted_offensive_rating,weighted_opponent_offensive_rating,weighted_defensive_rating,weighted_opponent_defensive_rating
2023-10-25,Spectrum Center,Atlanta Hawks,Charlotte Hornets,0,0,110,116,0.512,0.595,0.446,0.564,0.312,0.43,0.355,0.302,45.2,54.8,61.5,79.1,11.6,4.8,2.0,4.7,10.0,16.3,106.4,112.2,112.2,106.4,0,3,25,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-27,State Farm Arena,Atlanta Hawks,New York Knicks,1,0,120,126,0.599,0.616,0.552,0.589,0.368,0.489,0.345,0.311,49.4,50.6,66.7,69.8,6.8,8.7,13.0,10.9,12.3,13.5,115.9,121.7,121.7,115.9,0,19,26,110.00000000000001,116.0,0.512,0.595,0.446,0.564,0.312,0.42999999999999994,0.355,0.302,45.2,54.8,61.5,79.1,11.6,4.8,2.0,4.7,10.0,16.3,106.4,112.2,112.2,106.4
2023-10-29,Fiserv Forum,Atlanta Hawks,Milwaukee Bucks,0,1,127,110,0.618,0.58,0.586,0.547,0.398,0.512,0.237,0.233,54.1,45.9,68.1,56.4,14.5,9.7,4.8,5.4,14.2,19.5,123.1,106.6,106.6,123.1,0,16,9,116.22459331201854,122.22459331201856,0.5661539618145613,0.608071645955239,0.5119806891073967,0.5795614832800463,0.34685772254730385,0.46672510054090943,0.3487754066879814,0.3076021339808167,47.81432919104779,52.18567080895221,64.73678852224964,73.31112821982273,8.612195210231098,7.227591391687232,8.8470526432204,8.559247853451499,11.431656461764266,14.557113872634808,112.31336364641761,118.11336364641762,118.11336364641762,112.31336364641761
2023-10-30,State Farm Arena,Atlanta Hawks,Minnesota Timberwolves,1,1,127,113,0.676,0.585,0.64,0.578,0.349,0.367,0.209,0.167,48.6,51.4,58.3,54.5,6.2,5.1,12.3,8.9,10.5,12.7,131.3,115.7,116.9,130.0,0,17,26,121.68212550513111,116.03307651085106,0.5924129635094086,0.5938539077342536,0.5494700186339524,0.5630697304950164,0.3727602832310222,0.4896559493239551,0.29216335499824786,0.26981761598862636,50.99789820041302,49.00210179958699,66.4401891867035,64.74597338585463,11.594252882612606,8.479817870474848,6.797299837859314,6.959150765193649,12.833768179586295,17.0605887713663,117.77658344495516,112.28207072441408,112.28207072441408,117.77658344495516
2023-11-01,State Farm Arena,Atlanta Hawks,Washington Wizards,1,1,130,121,0.613,0.565,0.549,0.554,0.348,0.396,0.348,0.139,62.0,38.0,56.5,62.7,7.2,12.7,4.9,5.0,16.5,9.3,117.7,110.1,109.6,118.3,0,29,26,124.1020468094945,114.65286220277463,0.6304495983655629,0.5898248995330142,0.5906660699515799,0.5698638128468767,0.3619480657475261,0.4338408402681939,0.25431951819901943,0.2230300245110905,49.906724471797745,50.09327552820225,62.7359616323565,60.08349981595487,9.139575269526173,6.94181743862526,9.301326844652476,7.842342426899292,11.771777088469817,15.076284388557177,123.93047140543827,113.83741391252022,114.38347899322832,123.33890090133782
2023-11-04,Smoothie King Center,Atlanta Hawks,New Orleans Pelicans,0,1,123,105,0.594,0.563,0.559,0.524,0.441,0.369,0.258,0.25,59.8,40.2,62.2,60.0,4.3,9.7,11.3,13.5,11.2,10.6,132.8,113.4,113.4,132.8,0,18,24,126.6302370530736,117.37359791146581,0.6229697315512234,0.57918356909685,0.572805678704419,0.5630637017625768,0.35596915024910153,0.417620154873659,0.2944761746615185,0.18701008992113072,55.090573887987254,44.90942611201274,60.062882201404605,61.2050770858923,8.308165606764314,9.41009422926681,7.4146737587368285,6.6239566309310005,13.798555980788104,12.600248149612906,121.25974539060911,112.23535077558972,112.33301427599156,121.17894817101912
2023-11-06,Paycom Center,Atlanta Hawks,Oklahoma City Thunder,0,0,117,126,0.504,0.605,0.441,0.553,0.412,0.372,0.314,0.245,54.6,45.4,71.1,60.0,7.8,6.8,5.1,11.7,11.4,11.1,113.6,122.3,122.3,113.6,0,20,21,125.12700874412378,112.2498711707205,0.6109737875029951,0.5724821887598186,0.5670889481578072,0.5468879916137973,0.3911791871174618,0.39748725662952694,0.27937192181197856,0.21309329457813525,57.04067867370399,42.95932132629602,60.94783156626471,60.70607221004093,6.648442586212307,9.53013998802107,9.023530786524423,9.471226077756745,12.722531783028273,11.771974513631799,126.03839680309399,112.7176150626141,112.77483752943913,125.99105653576258
2023-11-09,Mexico City Arena,Atlanta Hawks,Orlando Magic,0,1,120,119,0.611,0.565,0.571,0.522,0.459,0.3,0.353,0.389,43.4,56.6,53.7,45.2,12.5,11.6,11.1,13.0,15.5,15.3,115.5,115.1,114.6,116.1,0,21,18,121.8297101862539,117.828587939309,0.567572269629824,0.5856753494273104,0.515932007146186,0.5493677621015659,0.39962662927641246,0.38714653999262616,0.2934212622108955,0.226038516748588,56.050443948431074,43.94955605156893,65.06678004900279,60.41960384840625,7.115653674490265,8.422464713056742,7.4316717383205875,10.375486583806325,12.185952793363805,11.499340305341386,120.991877335435,116.60539038435745,116.6393964915992,120.96374401128723
2023-11-11,State Farm Arena,Atlanta Hawks,Miami Heat,1,0,109,117,0.574,0.616,0.54,0.56,0.529,0.452,0.207,0.298,55.2,44.8,60.5,56.1,6.0,10.0,13.0,9.8,18.8,13.6,108.8,117.3,116.8,109.3,0,15,26,121.09634324223185,118.29810212226182,0.5849785573286397,0.5773884535352685,0.5380038335676763,0.5383984773438307,0.4234240960943639,0.35221729699194354,0.31730104229264816,0.29135518048213227,50.98001394881603,49.01998605118396,60.51085594116644,54.31942773997912,9.273755891967575,9.696054028137704,8.901976001339099,11.427418959785186,13.51425751098224,13.022684388180057,118.79067556660304,116.0020142026919,115.8219850873617,119.01430463621
2023-11-14,Little Caesars Arena,Atlanta Hawks,Detroit Pistons,0,1,126,120,0.64,0.599,0.586,0.578,0.379,0.322,0.299,0.256,49.4,50.6,62.2,76.6,8.9,8.9,11.5,11.1,12.5,14.5,125.1,119.1,119.1,125.1,0,8,16,116.28333535890694,117.78160092659517,0.5806103047160817,0.5927515821932999,0.5387980872179581,0.5469934962478067,0.46543163900311024,0.3919197861310193,0.27341341646536393,0.2939990843531064,52.65910206041644,47.34089793958354,60.506536476236526,55.02789873428673,7.9711628189543715,9.816990936869814,10.53253669366039,10.779886054504193,15.617398911603901,13.252392204436042,114.8154907277732,116.51846911388164,116.21112694538233,115.14908488683457
